# Status-Ledger Hofenbitzer Band 1 — Quelle der Wahrheit fuer den Gate-Status. Trenner ";".
# Gates: T=transkribiert (Codex/Claude) · D=digital zweitgeprueft (Claude) · H=menschlich freigegeben (Werner).
# Spalte T/D/H = Datum JJJJ-MM-TT wenn erledigt; "ja" = erledigt, Datum nachzutragen; leer = offen.
# Produktiv eine Zeile pro Seite; hier zur Lesbarkeit eine Zeile pro Transkriptionsdatei.
seite;ziel;lesbarkeit;datei;T;D;H;offene_punkte;bemerkung
32-36;KERN;gut;transkription/s32-36_gerader-rock-grundschnitt.md;2026-06-21;2026-06-21;2026-06-21;0;Rock-Grundschnitt (Kern), D unabhaengig nachgeprueft 2026-06-25 (Claude): S.33-Tabelle + S.35 fototreu
39-41;ZIELNAH;gut;transkription/s39-41_bund.md;2026-06-21;2026-06-21;2026-06-21;0;Gerader Bund, D nachgeprueft 2026-06-25: 19,7/17,5/36,0/1,2 + Buch-Typo hTaN bestaetigt
42-43;VARIANTE;gut;transkription/s42-43_saumerweiterter-rock.md;2026-06-21;2026-06-21;2026-06-21;0;D nachgeprueft 2026-06-25: oeffnen 6/ausstellen 3/12-15 cm fototreu
44;VARIANTE;gut;transkription/s44_glockenrock.md;2026-06-21;2026-06-21;2026-06-21;0;D nachgeprueft 2026-06-25: Kreisformeln 11,5/61,5/386,2 fototreu
11-15;KONTEXT;gut;transkription/eingang_claude/s11-15_rohtranskription.md;ja;2026-06-21;2026-06-28;0;D durch Codex, H Werner-freigegeben 2026-06-28 (Bridal-Maszsatz S.12-15)
172-181,184-187;KERN;gut;transkription/eingang_claude/s172-181_184-187_oberteil-grundschnitt_rohtranskription.md;ja;2026-06-21;2026-06-27;0;Oberteil-Grundschnitt (Kern fuer Moon Silk). Konsolidiert in s172-187_oberteil-grundgeruest_ENTWURF.md = bau-freigegebene Spec: H Werner 2026-06-27 (Stueck-fuer-Stueck, 6 Buchwiderspr. entschieden), D SSOT 2026-06-28 (gegen Roh gegengeprueft). ABNAeHER S.184-186: D-Foto-2geprueft 2026-07-03 (Li26=BrU:20+1cm korrigiert, □8c-Zuordnung gebunden), Werner+Munkhuu-Entscheide -> Spec s184-186_oberteil-abnaeher_ENTWURF.md = FREIGABE-KANDIDAT, finaler H-Read (Werner am Buch) offen
406-407,438-439;VARIANTE;gut;transkription/eingang_claude/s406-407_s438-439_kleidformen_rohtranskription.md;ja;2026-06-21;;0;massgeblich fuer S.438/439 (Konflikt C1)
20-31;KONTEXT;gut/mittel;transkription/eingang_claude/s20-31_groessen-und-konstruktionsstandards_rohtranskription.md;ja;;;12;D teilweise 2026-06-25 (nur S.20 verifiziert), S.21-31 offen
370,372-375,410-419;VARIANTE;gut;transkription/eingang_claude/s370_372-375_410-419_rohtranskription.md;ja;;;2;D teilweise: S.372+416 (2026-06-25), S.374 (2026-07-03) verifiziert; uebrige offen. S.416 kritisch: 1/2 BrB-2cm + 1,5/2,5cm fototreu
426-431,438-439;VARIANTE;gut;transkription/eingang_claude/s426-431_438-439_rohtranskription.md;ja;;;;Roh, S.438/439 doppelt (Konflikt C1). S.429 D-verifiziert 2026-07-03 (fototreu), uebrige offen
191-196;ZIELNAH;gut;transkription/eingang_codex/s191-196_grundschnitt-weite-und-korsage_rohtranskription.md;ja;;;;Codex
400-401,452-453;VARIANTE;gut;transkription/eingang_codex/s400-401_452-453_empire_codex_transkription.md;ja;2026-07-03;;0;Empire, D vollstaendig fototreu (1/2 BrB-2cm exakt); siehe _d_pruefung_brautkleider_befunde.md
406,454-457;VARIANTE;gut;transkription/eingang_codex/s406_454-457_etui-saeule_codex_transkription.md;ja;2026-07-03;;0;Etui/Saeule, D vollstaendig fototreu (S.454-457 Dublette zu Meerjungfrau)
45-46,382-387,407,458-461;VARIANTE;gut;transkription/eingang_codex/s45-46_382-387_407_458-461_codex_transkription.md;2026-06-22;2026-07-03;;0;Prinzessin, D vollstaendig fototreu (S.45 Halbglocke-Formeln exakt)
45-46,382-387,407,458-461;VARIANTE;gut;transkription/eingang_codex/s45-46_382-387_407_458-461_prinzessin-ballkleid_codex_transkription.md;2026-06-22;;;;DUPLIKAT (Konflikt C2) - eine Datei entfernen
64-73,454-457;VARIANTE;gut;transkription/eingang_codex/s64-73_454-457_meerjungfrau_codex_transkription.md;ja;2026-07-03;;0;Meerjungfrau, D vollstaendig fototreu (Godet-Formel S.68 exakt; 2 kosmet. Captions S.73)
92-97,537,539;VARIANTE;gut;transkription/eingang_codex/s92-97_537_539_produktionsschnitt_codex_transkription.md;ja;;;;Produktionsschnitt
# --- Nachgetragen von SSOT 2026-06-29: V2-Batch (eingang_codex_v2) + Einfuehrungs-Datei. Status T erledigt, D/H offen. Reines Rohmaterial mit Pruefstellen, NICHT in die Engine verdrahtet (kein sourceRef/Code). D on-demand entlang der Pruefstellen, wenn eine Seite gebraucht wird. ---
7-8,10,16-19;KONTEXT;gut;transkription/eingang_codex/s7-8_10_16-19_einfuehrung_massnehmen_codex_transkription.md;2026-06-25;;;;Einfuehrung/Massnehmen, UEBERLAPP mit eingang_codex_v2 s7-8_10_18-19 (Dublette-Kandidat C3)
7-8,10,18-19;KONTEXT;gut;transkription/eingang_codex_v2/s7-8_10_18-19_codex_v2_mit_pruefstellen.md;2026-06-25;;;;V2 mit Pruefstellen, UEBERLAPP s7-8_10_16-19 (C3)
16-19,37-38;KONTEXT;gut;transkription/eingang_codex_v2/s16-19_37-38_codex_v2_mit_pruefstellen.md;2026-06-25;;;;V2 mit Pruefstellen
47-52;VARIANTE;gut;transkription/eingang_codex_v2/s47-52_codex_v2_mit_pruefstellen.md;2026-06-25;;;;V2 mit Pruefstellen
53-58;VARIANTE;gut;transkription/eingang_codex_v2/s53-58_codex_v2_mit_pruefstellen.md;2026-06-26;;;;V2 mit Pruefstellen
59-63,74;VARIANTE;gut;transkription/eingang_codex_v2/s59-63_74_codex_v2_mit_pruefstellen.md;2026-06-27;;;;V2 mit Pruefstellen
75-80;VARIANTE;gut;transkription/eingang_codex_v2/s75-80_codex_v2_mit_pruefstellen.md;2026-06-25;;;;V2 mit Pruefstellen
